model_id,score_threshold,r_squared,rmse,errors,gt_values,count_accuracy_avg,count_accuracy_sd,ap_iou_50_95,ap_iou_50,ap_iou_75,ap_small,ap_medium,ap_large,ar_max_1,ar_max_10,ar_max_100,ar_small,ar_medium,ar_large
yolov5nu_dataset_1_exp_dataset_quality_4,0.4,0.9444855662472242,0.8660254037844386,"[0, 2, 0, 1, 1, 0, 1, 1, 0, 0, 2, -1, 1, 0, 1, 0, 0, 0, 0, 0]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9535645604395604,0.06467880110007253,0.5638479052550759,0.9156407952211113,0.6493932768692333,0.5638479052550759,-1.0,-1.0,0.06452991452991452,0.5123931623931625,0.6542735042735044,0.6542735042735044,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_4,0.5,0.3264248704663212,3.0166206257996713,"[2, 4, 2, 5, 4, 0, 5, 2, 1, 1, 5, 2, 3, 1, 3, 2, 4, 0, 3, 3]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.769800061050061,0.13426482423542146,0.46577478698931407,0.7506169078446306,0.5443898437466932,0.46577478698931407,-1.0,-1.0,0.06452991452991452,0.4837606837606837,0.5401709401709403,0.5401709401709403,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_4,0.6,-3.9220164609053496,8.140218540969084,"[6, 7, 4, 14, 11, 6, 9, 4, 4, 5, 11, 5, 7, 2, 12, 10, 12, 8, 4]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 14, 6]",0.3790943705417389,0.1850792621854001,0.2192952042918322,0.3507979033197438,0.24120559114735002,0.2192952042918322,-1.0,-1.0,0.061965811965811954,0.25170940170940176,0.2542735042735043,0.2542735042735043,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_4,0.7,-9.395290159798149,11.117553687749837,"[6, 12, 13, 6, 12, 12, 12, 5, 15, 13]","[7, 13, 14, 7, 15, 13, 15, 7, 16, 14]",0.1330631868131868,0.07164880592327166,0.04780763790664781,0.06930693069306931,0.04752475247524753,0.04780763790664781,-1.0,-1.0,0.03418803418803419,0.04957264957264957,0.04957264957264957,0.04957264957264957,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_5,0.29,0.9555884529977794,0.7745966692414834,"[0, 0, -1, 0, 0, 0, -1, -1, 0, 0, 1, -2, -1, 0, 1, 0, -1, 1, 0, 0]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9547710622710623,0.05588961193557738,0.5228878540713463,0.9195137255066792,0.526829041050652,0.5228878540713463,-1.0,-1.0,0.055128205128205134,0.4888888888888888,0.632051282051282,0.632051282051282,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_5,0.4,0.9481865284974094,0.8366600265340756,"[0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 1, -1, 0, 0, 2, 0, -1, 1, 0, 0]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9572779304029304,0.06423922095350355,0.5127533459056175,0.9008490296787002,0.5198106176893285,0.5127533459056175,-1.0,-1.0,0.055128205128205134,0.48205128205128195,0.617948717948718,0.617948717948718,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_5,0.5,0.5262768319763138,2.5298221281347035,"[0, 3, 0, 4, 3, 0, 1, 0, 1, 2, 3, -1, 0, 1, 5, 0, 7, 1, 1, 1]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.8556593406593407,0.14557029241577282,0.45928271450704744,0.794613314913894,0.45527429383343904,0.45928271450704744,-1.0,-1.0,0.055128205128205134,0.45897435897435895,0.5538461538461539,0.5538461538461539,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_5,0.6,-2.9710669077757688,7.363574011458174,"[5, 7, 1, 13, 10, 3, 8, 2, 5, 15, 8, 2, 5, 12, 3, 5, 3, 5]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 16, 13, 15, 7, 16, 16, 8, 14, 6]",0.4700769909103243,0.2710328787294415,0.2392852736758687,0.4038787115820839,0.24477380700670062,0.2392852736758687,-1.0,-1.0,0.04957264957264957,0.2658119658119658,0.2846153846153846,0.2846153846153846,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_5,0.7,-7.369565217391305,10.702591020190136,"[7, 4, 14, 6, 12, 12, 14, 6, 15, 7, 13]","[8, 7, 15, 7, 15, 13, 15, 7, 16, 8, 14]",0.13713369963369962,0.1012162258189741,0.03261669024045262,0.05577557755775577,0.028854314002828858,0.03261669024045262,-1.0,-1.0,0.02820512820512821,0.03632478632478632,0.03632478632478632,0.03632478632478632,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_6,0.29,0.9518874907475944,0.806225774829855,"[0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 2, -2, -1, -1, 1, 0, 0, 0, -1, 0]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.961742216117216,0.05669635803656247,0.5302611369015885,0.9613503446789464,0.5005090306828918,0.5302611369015885,-1.0,-1.0,0.053418803418803416,0.4880341880341881,0.6401709401709402,0.6401709401709402,-1.0,-1.0
