model_id,score_threshold,r_squared,rmse,mape,errors,gt_values,count_accuracy_avg,count_accuracy_sd,ap_iou_50_95,ap_iou_50,ap_iou_75,ap_small,ap_medium,ap_large,ar_max_1,ar_max_10,ar_max_100,ar_small,ar_medium,ar_large
yolov5lu_dataset_2_exp_dataset_size_3,0.9,-11.676886792452828,7.33143914930759,55.37151737151736,"[8, 4, 7, 8, 6, 5, 10, 7, 2, 8, 10, 6, 3, 11, 10, 4, 5, 10, 4, 9]","[13, 15, 13, 11, 8, 12, 15, 9, 12, 14, 12, 12, 12, 15, 15, 11, 12, 13, 9, 15]",0.44628482628482624,0.1898320511136458,0.3205899979014596,0.44554455445544555,0.37341134113411345,0.3205899979014596,-1.0,-1.0,0.06411290322580644,0.3463709677419355,0.3495967741935484,0.3495967741935484,-1.0,-1.0
yolov5lu_dataset_2_exp_dataset_size_3,0.95,-41.85245901639344,11.43241006962224,90.25385725385726,"[13, 12, 11, 11, 13, 11, 9, 11, 8, 14]","[15, 13, 12, 12, 14, 12, 11, 12, 9, 15]",0.09746142746142747,0.033816316185333345,0.037541254125412545,0.04950495049504951,0.041254125412541254,0.037541254125412545,-1.0,-1.0,0.031451612903225803,0.03870967741935484,0.03870967741935484,0.03870967741935484,-1.0,-1.0
yolov5lu_dataset_2_exp_dataset_size_4,0.29,0.7405660377358492,1.0488088481701516,6.177960927960928,"[-1, 0, 0, 0, -2, 0, 0, -1, -1, -2, 0, -1, 0, 0, -2, 0, -2, -1, -1, 0]","[13, 15, 13, 11, 8, 12, 15, 9, 12, 14, 12, 12, 12, 15, 15, 11, 12, 13, 9, 15]",0.9382203907203908,0.07160442821720087,0.683612289544342,0.9695466369529486,0.8540510149278937,0.683612289544342,-1.0,-1.0,0.06612903225806452,0.6088709677419354,0.7512096774193548,0.7512096774193548,-1.0,-1.0
yolov5lu_dataset_2_exp_dataset_size_4,0.4,0.8113207547169812,0.8944271909999159,5.205738705738707,"[-1, 0, 0, 0, -2, 0, 0, 0, 0, -2, 0, -1, 1, 1, -1, 0, -1, -1, -1, 0]","[13, 15, 13, 11, 8, 12, 15, 9, 12, 14, 12, 12, 12, 15, 15, 11, 12, 13, 9, 15]",0.9479426129426131,0.06426933681066307,0.6826874296164887,0.9695466369529486,0.8540510149278937,0.6826874296164887,-1.0,-1.0,0.06612903225806452,0.6088709677419354,0.7495967741935483,0.7495967741935483,-1.0,-1.0
yolov5lu_dataset_2_exp_dataset_size_4,0.5,0.8584905660377359,0.7745966692414834,4.247405372405373,"[-1, 0, 0, 0, -1, 0, 0, 0, 0, -2, 0, -1, 1, 1, 0, 0, -1, -1, -1, 0]","[13, 15, 13, 11, 8, 12, 15, 9, 12, 14, 12, 12, 12, 15, 15, 11, 12, 13, 9, 15]",0.9575259462759463,0.049704142074368775,0.6826874296164887,0.9695466369529486,0.8540510149278937,0.6826874296164887,-1.0,-1.0,0.06612903225806452,0.6088709677419354,0.7495967741935483,0.7495967741935483,-1.0,-1.0
yolov5lu_dataset_2_exp_dataset_size_4,0.6,0.8938679245283019,0.6708203932499369,3.5985958485958496,"[-1, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, -1, 1, 1, 0, 0, -1, -1, -1, 0]","[13, 15, 13, 11, 8, 12, 15, 9, 12, 14, 12, 12, 12, 15, 15, 11, 12, 13, 9, 15]",0.9640140415140415,0.04068444261290738,0.678931339721785,0.9599599639999391,0.8452501348398849,0.678931339721785,-1.0,-1.0,0.06612903225806452,0.6088709677419354,0.7471774193548387,0.7471774193548387,-1.0,-1.0
yolov5lu_dataset_2_exp_dataset_size_4,0.7,0.8584905660377359,0.7745966692414834,3.8485958485958496,"[-1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 1, 1, 0, -1, 1, -1, 0]","[13, 15, 13, 11, 8, 12, 15, 9, 12, 14, 12, 12, 12, 15, 15, 11, 12, 13, 9, 15]",0.9615140415140416,0.0448409494208121,0.6722714030769745,0.9502969994250438,0.8452463254927407,0.6722714030769745,-1.0,-1.0,0.06612903225806452,0.6088709677419354,0.7383064516129032,0.7383064516129032,-1.0,-1.0
yolov5lu_dataset_2_exp_dataset_size_4,0.8,0.20990566037735858,1.8303005217723127,12.414946164946164,"[3, 2, 3, 1, 2, 0, 2, 0, 1, 2, 1, 1, 1, 1, 3, 3, 0, 2, -1, 2]","[13, 15, 13, 11, 8, 12, 15, 9, 12, 14, 12, 12, 12, 15, 15, 11, 12, 13, 9, 15]",0.8758505383505384,0.07917378485592858,0.6164842323815647,0.8623355486233556,0.7811538083127499,0.6164842323815647,-1.0,-1.0,0.06612903225806452,0.5967741935483871,0.6758064516129032,0.6758064516129032,-1.0,-1.0
yolov5lu_dataset_2_exp_dataset_size_4,0.9,-29.305084745762713,10.571187255932987,88.60058922558922,"[13, 10, 7, 10, 11, 11, 10, 11, 14, 10, 10, 8]","[15, 11, 8, 12, 12, 12, 12, 12, 15, 11, 12, 9]",0.11399410774410774,0.03529945032216781,0.05345489906133471,0.06930693069306931,0.06930693069306931,0.05345489906133471,-1.0,-1.0,0.0407258064516129,0.05241935483870967,0.05241935483870967,0.05241935483870967,-1.0,-1.0
yolov5lu_dataset_3_exp_dataset_size_5,0.29,-2.1658001155401503,3.7013511046643495,20.213078588078588,"[-1, 6, -2, -1, 6, -1, -5, 0, 10, -3, -1, -2, -1, 0, 6, 3, 0, -1, 3, 0]","[13, 14, 11, 10, 12, 14, 14, 12, 15, 9, 8, 14, 15, 11, 14, 11, 10, 11, 15, 14]",0.7978692141192141,0.18715177134504773,0.10832312959839513,0.3877083010892888,0.011224709427464485,0.10832312959839513,-1.0,-1.0,0.022267206477732792,0.16234817813765182,0.1797570850202429,0.1797570850202429,-1.0,-1.0
yolov5lu_dataset_3_exp_dataset_size_5,0.4,-2.17735413056037,3.7080992435478315,17.98917748917749,"[0, 6, -1, 0, 6, 1, -4, 0, 10, -3, 0, 0, -1, 0, 7, 4, 0, -1, 3, 0]","[13, 14, 11, 10, 12, 14, 14, 12, 15, 9, 8, 14, 15, 11, 14, 11, 10, 11, 15, 14]",0.8201082251082251,0.20879984199821108,0.10728960519332302,0.38210642511221743,0.011224709427464485,0.10728960519332302,-1.0,-1.0,0.022267206477732792,0.16234817813765182,0.17894736842105263,0.17894736842105263,-1.0,-1.0
