Model,Shots,Dataset,Score Threshold,R-Squared,RMSE,MAPE,Count Accuracy Avg,Count Accuracy SD,Pred Counts,GT Counts,AP (IoU=.50:.95),AP (IoU=.50),AP (IoU=.75),AP Small,AP Medium,AP Large,AR Max1,AR Max10,AR Max100,AR Small,AR Medium,AR Large
vits,1,3,0.5,-31.7953603976802,12.434830115445887,99.55357142857143,0.004464285714285712,0.017290104224140245,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14, 15, 14, 9, 11, 10, 11, 12, 8, 15, 15, 13, 11, 14, 11, 14]",0.0029702970297029695,0.0099009900990099,0.0,0.0029702970297029695,0.0,-1.0,0.0015228426395939086,0.0015228426395939086,0.0015228426395939086,0.0017142857142857144,0.0,-1.0
vits,5,1,0,-206.45652173913038,36.406272353355085,215.1802248677249,-1.1518022486772486,1.6847151779288732,"[23, 44, 26, 19, 17, 35, 32, 46, 26, 69, 78, 88]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.06826701832642369,0.21800081952188785,0.0272756576637894,0.07215179760573272,0.3464733616218765,-1.0,0.021951219512195124,0.10182926829268293,0.17378048780487804,0.16728395061728393,0.7,-1.0
vits,5,1,0.05,-8.53478260869565,7.804912982645397,42.16638685388685,0.5783361314611315,0.2821595431252386,"[3, 8, 4, 7, 2, 8, 4, 11, 11, 17, 15, 9]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.054133000514548585,0.16169808010994674,0.02555901194515056,0.05520667413673288,0.3464733616218765,-1.0,0.021951219512195124,0.08719512195121952,0.09451219512195122,0.08703703703703702,0.7,-1.0
vits,5,1,0.1,-11.78260869565217,9.03696114115064,55.814509564509564,0.44185490435490443,0.23363217102205308,"[1, 5, 3, 6, 2, 5, 4, 10, 7, 10, 9, 6]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.049500849285727073,0.14818597889982574,0.02555901194515056,0.050014762684780376,0.3464733616218765,-1.0,0.021951219512195124,0.08109756097560976,0.08109756097560976,0.07345679012345678,0.7,-1.0
vits,5,1,0.15,-14.78260869565217,10.041580220928045,64.32755901505901,0.35672440984940984,0.21710732546727932,"[1, 5, 2, 5, 1, 4, 4, 7, 7, 10, 4, 4]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.046320917472548004,0.1376930207273392,0.02396778139352397,0.047101445275481935,0.3464733616218765,-1.0,0.021951219512195124,0.07378048780487804,0.07378048780487804,0.06604938271604938,0.7,-1.0
vits,5,1,0.2,-16.54347826086956,10.586941642104831,70.10365791615793,0.29896342083842087,0.17571791449447693,"[1, 5, 2, 4, 1, 4, 4, 5, 5, 8, 3, 3]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.04356196810822381,0.12046374677953625,0.02396778139352397,0.04377804660908468,0.3464733616218765,-1.0,0.021951219512195124,0.06829268292682927,0.06829268292682927,0.06049382716049383,0.7,-1.0
vits,5,1,0.25,-17.847826086956516,10.973452814254347,74.2588776963777,0.25741122303622305,0.15563112866051518,"[1, 5, 2, 3, 1, 3, 4, 5, 5, 6, 1, 3]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.04036889880129312,0.11461316172103041,0.02396778139352397,0.04012047416147146,0.3464733616218765,-1.0,0.021951219512195124,0.06097560975609756,0.06097560975609756,0.05308641975308641,0.7,-1.0
vits,5,1,0.3,-18.447826086956518,11.146748404803978,75.3352665852666,0.24664733414733417,0.15503128505078131,"[1, 5, 2, 3, 1, 3, 3, 4, 5, 6, 1, 3]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.03975385436655093,0.10846271737360846,0.02396778139352397,0.04010430556168928,0.3464733616218765,-1.0,0.021951219512195124,0.060365853658536583,0.060365853658536583,0.052469135802469126,0.7,-1.0
vits,5,1,0.4,-20.378260869565214,11.686887238838807,78.79871286121286,0.21201287138787137,0.17106560079222283,"[1, 5, 1, 3, 1, 2, 3, 4, 4, 6, 0, 1]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.03591740622026003,0.09663504812019663,0.02396778139352397,0.0364183150155437,0.3464733616218765,-1.0,0.01951219512195122,0.05243902439024391,0.05243902439024391,0.04444444444444444,0.7,-1.0
vits,5,1,0.5,-21.6695652173913,12.034672132357132,82.3982498982499,0.176017501017501,0.15122993648260488,"[1, 4, 1, 2, 0, 2, 2, 3, 4, 6, 0, 1]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.031849749454583465,0.08401128574395901,0.02396778139352397,0.03431475321008779,0.20787128712871286,-1.0,0.018292682926829267,0.045121951219512194,0.045121951219512194,0.040740740740740744,0.4,-1.0
vits,5,1,0.6,-23.013043478260865,12.386148177164145,85.83307895807897,0.1416692104192104,0.1414564355270342,"[1, 4, 1, 1, 0, 1, 2, 1, 4, 5, 0, 1]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.027722011050490953,0.07135109115307135,0.02081746636202082,0.030250324321378485,0.20787128712871286,-1.0,0.018292682926829267,0.03719512195121951,0.03719512195121951,0.03271604938271605,0.4,-1.0
vits,5,1,0.7,-24.369565217391298,12.731195282978474,88.09994403744405,0.11900055962555961,0.14184859224394825,"[0, 4, 1, 1, 0, 1, 2, 1, 2, 5, 0, 0]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.02629579700051453,0.06522190680606522,0.02081746636202082,0.02965626491543789,0.0,-1.0,0.017073170731707315,0.031097560975609756,0.031097560975609756,0.03148148148148148,0.0,-1.0
